Product,Strength and Form
Algogesic,100 micrograms/h  transdermal patch
Algogesic,"12,5 micrograms/h  transdermal patch"
Algogesic,25 micrograms/h  transdermal patch
Algogesic,50 micrograms/h  transdermal patch
Algogesic,75 micrograms/h  transdermal patch
Algoxib,"100 mg capsules, hard"
Algoxib,"200 mg capsules, hard"
Algozone,500 mg tablets
Algozone  Plus,"500 mg/38,75 mg/50 mg  tablets"
Alka-Seltzer,324 mg effervescent tablets
AlLDone,100 mg effervescent  tablets
Allegra,120 mg film - coated tablets
Allergens  from animals for diagnosis,sol. inj. 1 000 BU/ml  vial 5 ml x 1; x 2; x 3; x 4; x 5; x 6
Allergens  from food for diagnosis,sol. inj. 1 000 BU -  vial 5 ml x 1; x 2; x 3; x 4; x 5; x 6
Allergens  from grass polen for diagnosis,solu. For skinprick test
Allergens  from textiles for diagnosis,sol. inj. vial 5 ml (1  000 BU/ml) x 1; x 2; x 3; x 4; x 5; x 6
Allergodil,"0,1 % nasal spray,  solution"
Allergodil,"0,05 % eye drops,  solution"
Allergodil  S,"0,15% nasal spray,  solution"
Allergoprevent,solution for injection
Allergosan,sol. inj. 10 mg/ml - 2  ml x 10; x 100
Allergosan,1 % oinment
Allergosan,25 mg coated tablets
Allergosan,1% cream
Allersan,10 mg film - coated  tablets
Allertesin,10 mg film - coated  tablets
Allezodac,10 mg film - coated tablets
Allopurinol  Accord,100 mg tablets
Almadrat  T,500 mg tablets
Almagel,436 mg/150 mg/218 ml/10  ml oral suspension
Almagel,436 mg/150 mg/10 ml oral  suspension
Almagel,400 mg/400 mg chewable  tablets
Almagel  A,susp 218 mg/75 mg/109 mg  - 170 ml; 200 ml
Almagel A,436 mg/150 mg/218 mg/10  ml oral suspension
Almalox,susp. 340 mg/ 395 mg/ 36  mg
Almalox,680 mg/790 mg/72 mg/10  ml oral suspension
Almiral,50 mg gastro - resistant  tablets
Almiral,75 mg/3 ml solution for  injection
Almiral,"1,16 % gel"
Almozel,"12,5 mg flim coated  tabl."
Alnair,25 mg film - coated  tablets
Alneta,5 mg tablets
Alneta,10 mg tablets
Alodagra,"100, 200, 300 mg tablets"
Alodagra,100  mg tablets
Alonet,400 mg film - coated  tablets
Alonzap,5 mg film - coated  tablets
Alonzap,10 mg film - coated  tablets
Alonzap  ODT,5 mg orodispersible  tablets
Alonzap  ODT,10 mg orodispersible  tablets
Alotendin,5 mg/5 mg tablets
Alotendin,5 mg/10 mg tablets
Alotendin,10 mg/5 mg tablets
Alotendin,10 mg/10 mg tablets
Alpha  D3,"0,25 micrograms  capsules, soft"
Alpha  D3,"0,5 micrograms capsules,  soft"
Alpha  D3,"1 microgram capsules,  soft"
Alphacef,l g powder for solution  for injection
Alphacef,2 g powder for solution  for injection
Alpicort,"0,4 g/100 ml /0,2 g/100  ml cutaneous solution"
Alpicort  F,"0,005 g/100 ml/0,2 g/100  ml/0,4 g/100 ml cutaneous solution"
Alprazolam  KRKA,"0,5 mg tablets"
Alprazolam  KRKA,1  mg tablets
Alprazolam  KRKA,2 mg tablets
Alprazolam  KRKA,"0,25 mg tablets"
Alprostadil  Rompharm,20 micrograms powder for  solution for infusion
Alprostapint,500 micrograms/ml  concentrate for solution for infusion
Alprostapint  20 mcg,conc. inf. 20 mcg/ml - 1  ml x 5
Alsetron,2 mg/ml sol. For inj.
Alsetron,8 mg film-coated tablets
Alterbin,"1% cut spray, solution"
Alterbin,1 % cream
Alubrex,"5,50 g/1 solution for infusion"
Alubrex  20,200 g/1 solution for infusion
Alumi  gel,"345,8 mg/113 mg/5 ml  oral suspension"
ALUSTAL,suspension for injection
Alvanocyt,450 mg film - coated  tablets
Alventa,"37,5 mg prolonged -  release capsules, hard"
Alventa,"75 mg prolonged -  release capsules, hard"
Alventa,"150 mg prolonged -  release capsules, hard"
Alvesco,"40 micrograms  pressurised inhalation, solution"
Alvesco,"80 micrograms  pressurised inhalation, solution"
Alvesco,"160 micrograms  pressurised inhalation, solution"
Alvesco,"160 micrograms  pressurised inhalation, solution"
Alvesco,"80 micrograms  pressurised inhalation, solution"
AlvoBehist,16 mg tablets
AlvoBehist,24 mg tablets
Alvocital,10 mg film - coated  tablets
Alvocital,15 mg film - coated  tablets
Alvocital,20 mg film - coated  tablets
Alvoclav,500 mg/125 mg film -  coated tablets
Alvoclav,875 mg/125 mg film -  coated tablets
Alvofen  Express,"200 mg capsules, soft"
Alvofen  Express,"400 mg capsules, soft"
Alvogen,"0,5 mg/mol oral solution"
Alvokast,4 mg chewable tablets
Alvokast,5 mg chewable tablets
Alvokast,10 mg film-coated  tablets
Alvonamid,"1,5 mg prolonged - release tablets"
Alvotiracetam,1000 mg film - coated  tablets
Alvotiracetam,250 mg film - coated  tablets
Alvotiracetam,500 mg film - coated  tablets
ALYOSTAL  PRICK,"Allergen extract from animal origin, solution for skin - prick test"
ALYOSTAL  PRICK,"Allergen extract from grass pollens,solution  for skin - prick test"
ALYOSTAL  PRICK,"Allergen extract from  mites, solution for skin - prick test"
ALYOSTAL  PRICK,"Allergen extract from  tree pollens, solution for skin - prick test"
ALYOSTAL  PRICK,"Allergen extracts from  weed pollens, solution for skin - prick test"
"Alyostal  Prick, Allergen extracts from animal for diagnosis","solution for prick test,  vial 3 ml x 1"
"Alyostal  Prick, Allergen extracts from grass pollens for diagnosis","solution for prick test,  vial 3 ml x 1"
"Alyostal  Prick, Allergen extracts from mites for diagnosis","solution for prick test,  vial 3 ml"
"Alyostal  Prick, Allergen extracts from weed pollens for diagnosis","solution for prick test,  vial 3 ml x 1"
Alzamed,5 mg film - coated  tablets
Alzepil,10 mg film - coated  tablets
Alzepil,5 mg film - coated  tablets
Alzepil  ODT,5 mg orodispersible tablets
Alzepil  ODT,10 mg orodispersible  tablets
Amarhyton,"200 mg prolonged -  release capsules, hard"
Amarhyton,"100 mg prolonged -  release capsules, hard"
Amarhyton,"50 mg prolonged -  release capsules, hard"
Amarhyton,"150 mg prolonged -  release capsules, hard"
Amaryl,1 mg tablets
Amaryl,2 mg tablets
Amaryl,3 mg tablets
Amaryl,4 mg tablets
Ambixol,15 mg/5 ml syrup
Ambixol,15 mg/15 ml syrup
Ambrex,15 mg/5 ml syrup
Ambrex,30 mg/5 ml syrup
Ambrin,30 mg effervescent  tablets
Ambrisentan  Accord,5 mg film - coated  tablets
Ambrisentan  Accord,10 mg film - coated  tablets
Ambrisentan  Teva,5 mg film - coated tablets
Ambrisentan  Teva,10 mg film - coated tablets
Ambro,3 mg/ml oral solution
Ambro,30 mg tablets
Ambrolex  R,"75 mg prolonged -  release capsules, hard"
Ambrolytin,15 mg/5 ml syrup
Ambrolytin,30 mg/5 ml syrup
Ambroxol  Adipharm,syr. 15 mg/5 ml - 100 ml
Ambroxol  AL,syr. 15 mg/5 ml - 100  ml; 250 ml x 1
Ambroxol Hydrochloride Fontane,15 mg/5 ml oral solution
Ambroxol  VP,15 mg/5 ml syrup
Ambroxol  VP,30 mg/5 ml syrup
Ameolin,100 mg tablets
Amfidor,50 mg film-coated  tablets
Amfidor,25 mg film-coated  tablets
Amfidor,100 mg film-coated  tablets
Amicor,10 mg film - coated tablets
Amicor,20 mg film - coated tablets
Amicor,40 mg film - coated tablets
Amigren  Adipharm,tabl. 100 mg x 2; x 4
Amigren  Adipharm,tabl. 50 mg x 2; x 4
Amikacin  B. Braun,"2,5 mg/ml solution for  infusion"
Amikacin  B. Braun,5 mg/ml solution for  infusion
Amikacin  B. Braun,10 mg/ml solution for  infusion
Amikacin  CP Medical,500 mg/2 ml solution for  injection/infusion
Amikacin  CP Medical,100 mg/2 ml solution for  injection/infusion
Amikacin  CP Medical,250 mg/2 ml solution for  injection/infusion
Amikacin  Sopharma,250 mg/ml solution for  injection/infusion
Amikacin  Sopharma,125 mg/ml solution for  injection/infusion
Aminodial  BIOFARM,1.1 % solution for  peritoneal dialysisd
AminoNUTRIENT  BIOPHARM,10 % solution for  infusion
Aminoplasmal  10% E,sol. inf - 500 ml x 10
Aminoplasmal  5% E,sol. inf - 500 ml x 10
Aminoplasmal  B. Braun,5% Е solution for  infusion
Aminoplasmal  B. Braun,10% Е solution for  infusion
AMINOPLASMAL  HEPA,10% solution for  infusion
Aminoplasmal  Paed,10 % solution for  infusion
Aminosteril  N - Hepa,8 % solution for  infusion
Aminoven  10%,sol. inf. 10% - 500 ml x  10; ? 1; 1 000 ml x 6; ? 1
Aminoven  5%,sol. inf. 5% - 500 ml x  10; ? 1; 1 000 ml x 6; ? 1
Amiodaron  Actavis,200 mg tablets
Amiodaron  Hameln,50 mg/ml concentrate for  solution for injection/infusion
Amiodarone  Sopharma,200 mg tablets
Amiptifree,"20 mg/ml + 5 mg/ml eye  drops, solutition"
Amisulgen,400 mg film - coated  tablets
Amisulgen,50 mg tablets
Amisulgen,100 mg tablets
Amisulgen,200 mg tablets
Amitrex,"40 mg/ml oral drops, solution"
Amitriptyline  MEDA,10 mg coated tablets
Amitriptyline  MEDA,25 mg coated tablets
Amitriptyline  Mylan,10 mg coated tablets
Amitriptyline  Mylan,25 mg coated tablets
Amizolmet,500 mg/ml solution for  injection
Amlator,10 mg/5 mg film - coated  tablets
Amlator,10 mg/10 mg film - coated  tablets
Amlator,20 mg/5 mg film - coated  tablets
Amlator,20 mg/10 mg film - coated  tablets
Amlator,10 mg/5 mg film - coated  tablets
Amlator,10 mg/10 mg film - coated  tablets
Amlator,20 mg/5 mg film - coated  tablets
Amlator,20 mg/10 mg film - coated  tablets
Amlessa,"2,85 mg/2,5 mg tablets"
Amlessa,"5,7 mg/5 mg tablets"
Amlessa,4 mg/5 mg tablets
Amlessa,8 mg/5 mg tablets
Amlessa,8 mg/10 mg tablets
Amlessa,4 mg/10 mg tablets
Amlocor,tabl. 10 mg x 20; x 30
Amlocor,tabl. 5 mg x 20; x 30
Amlodicon,10 mg tablets
Amlodicon,5 mg tablets
Amlodigamma,5 mg tablets
Amlodigamma,10 mg tablets
Amlodipin  Alkaloid,10  mg tablets
Amlodipin  Alkaloid,5  mg tablets
Amlodipine  Biopharm,10 mg tablets
Amlodipine  Biopharm,5 mg tablets
Amlodipine Ecopharm,5 mg tablets
Amlodipine  Medica,10  mg tablets
Amlodipine  Medica,5 mg tablets
Amlodipine  Sopharma,10 mg tablets
Amlodipine  Sopharma,5 mg tablets
Amlodipine/Atorvastatin Krka,10 mg/10 mg film -  coated tablets
Amlodipine/Atorvastatin Krka,5 mg/10 mg film - coated  tablets
Amlodipine/Valsartan HCS,10 mg/320 mg film -  coated tablets
Amlodipine/Valsartan HCS,5 mg/320 mg film -  coated tablets
Amlodipine/Valsartan  Sandoz,10 mg/160 mg film - coated  tablets
Amlodipine/Valsartan  Sandoz,5 mg/160 mg film - coated  tablets
Amlodipine/Valsartan  Sandoz,5 mg/80 mg film - coated  tablets
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,"5 mg/160 mg/12,5 mg film -  coated tablets"
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,"10 mg/160 mg/12,5 mg film  - coated tablets"
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,10 mg/160 mg/25 mg film -  coated tablets
Amlogen,5 mg tablets
Amlogen,10 mg tablets
Amlopin,5  mg tablets
Amlopin,10 mg tablets
Amlopin  DUO,"5 mg/5 mg capsules, hard"
Amloteron,5 mg tablets
Amloteron,10 mg tablets
Amlovask,10 mg tablets
Amlovask,5 mg tablets
Amoclan,500 mg/125 mg film - coated tablets
Amoclan,250 mg/125 mg film -  coated tablets
Amoclan,875 mg/125 mg film -  coated tablets
Amoksiklav,1 000 mg/200 mg powder  for solution for injection
Amoksiklav,2000 mg/200 mg powder  for solution for infusion
Amoksiklav,"125 mg/31,25 mg/5 ml  powder for oral suspension"
Amoksiklav,"250 mg/ 62,5 mg/5 ml  powder for oral suspension"
Amoksiklav,250 mg/125 mg film -  coated tablets
Amoksiklav,875 mg/125 mg film -  coated tablets
Amoksiklav,500 mg/ 125mg film -  coated tablets
Amoksiklav,400 mg/ 57 mg/5 ml  powder for oral suspension
Amolcon,40 mg/5 mg film - coated  tablets
Amolpril,4 mg/10 mg tablets
Amolpril,4 mg/5 mg tablets
Amolpril,8 mg/10 mg tablets
Amolpril,8 mg/5 mg tablets
Amoxicillin CNP,tabl.500 mg;750 mg; 1  000 mg
Amoxicillin  - MIP,750 mg tablets
Amoxicillin  - MIP,1 000 mg tablets
Amoxicillin  - MIP,500 mg tablets
Amoxicillin  MIP,50 mg / ml powder oral  solution
Amoxicillin  Sandoz,250 mg/5 ml powder for  oral suspension
Amoxicillin  Sandoz,500 mg/5 ml powder for  oral suspension
Amoxicillin  Sandoz,500 mg film - coated  tablets
Amoxicillin  Sandoz,1000 mg film - coated  tablets
Amoxigard,875mg / 125 mg film -  coated tablets
Amoxiklav,875 mg/125 mg film - coated  tablets
Ampicillin  & Sulbactam Mylan,2 g/l g powder for  solution for injection or infusion
Ampicillin  & Sulbactam Mylan,"l g/0,5 g powder for  solution for injection or infusion"
Ampicillin Floella,l g powder for solution  for injection
Ampicillin TZF,l g powder for solution  for injection
Ampisulcillin,"1,0 g/500 mg powder"
Ampisulcillin,"2,0 g/1,0 mg powder"
Ampodipine/Atorvastatin  KRKA,5 mg/10 mg film - coated  tablets
Ampril,"1,25 mg tablets"
Ampril,"2,5 mg tablets"
Ampril,5 mg tablets
Ampril,10 mg tablets
Ampril  HD,"2,5 mg/12,5 mg tablets"
Ampril  HD,5 mg/25 mg tablets
Ampril  HL,"2,5 mg/12,5 mg tablets"
Ampril  HL,5 mg/25 mg tablets
Amvalcon,10 mg/160 mg film -  coated tablets
Amvalcon,5 mg/160 mg film -  coated tablets
Amvalcon  - Co,"5 mg/160 mg/12,5 mg film  - coated tablets"
Anaestezolum  - Flo,1 g/100 g + !g/100 g +  2.5 g/100 g cutaneous solution
Anaesthesol  Galen - Pharma,"1 g/100 ml + 2,5 g/100  ml + 1 g/100 ml cutaneous solution"
Anafranil,10 mg coated tablets
Anafranil,25 mg coated tablets
Anagrelid  Nordic,"0,5 mg tablets"
Anagrelid  Nordic,"0,75 mg tablets"
Anagrelid  Nordic,1 mg tablets
Anagrelide  AOP,"0,5 mg hard capsules"
Analgin,"500 mg/ml oral drops,  solution"
Analgin,500 mg/ml solution for  injection
Analgin,500 mg tablets
Analgin  Chin,500 mg film - coated  tablets
Analgin  Chin,250 mg film - coated  tablets
Analgin  Kids,"500 mg/ml oral drops,  solution"
ANALGIN  MAX,1000 mg effervescent  powder
Anapen,"300 micrograms /0,3 ml  solution for injection, pre - filled siringe"
Anapen  Junior,"150 micrograms /0,3 ml  solution for injection, pre - filled siringe"
Anaromat,1 mg film - coated  tablets
Anastrocon,1 mg film - coated  tablets
Anastrozex,1 mg film - coated  tablets
Anastrozol  Genericon,1 mg film-coated tablets
Anastrozole Alvogen,1 mg film - coated  tablets
Anastrozole  Kabi,1 mg film - coated  tablets
Andante,"5 mg, 10 mg capsules"
Androcur,50 mg tablets
Androcur  Depot,100 mg/ml solution for  injection
Androgel,50 mg gel
Androterone,50 mg tablets
Aneea,"3 mg/0,02 mg film -  coated tablets"
Anervina,"oral drops, solution -  50 ml"
Anestesol,sol. cut. - 60 ml
Anestesol  Chemax Pharma,"1,0 g/100 g + 1,0 g/100  g + 2,5 g/100 g cutaneous solution"
Anestesol VT,"1 g/100 ml + 2,5 g/100  ml + 1 g/100 ml cutaneous solution"
Anesthezol  - Kupro,sol. cut. - 100 ml
Anexate,"0,1 mg/ml solution for  injection/infusion"
ANGAL Intensive,"8,75 mg lozenge"
Angal  Lemon,5 mg/1 mg compressed  lozenges
Angal  Menthol,5 mg/1 mg compressed  lozenges
Angal  Menthol,"2 mg/ml + 0,5 mg/ml  oromucosal spray, solution"
Angedil,10 mg tablets
Angedil,20 mg tablets
Angetop,500 mg tablets
Angin - Heel S,tablets
Angusta,25 micrograms tablets
Anopyrin,100 mg tablets
Antalerg Unimed Pharma,"0,05% eye drops,  solution"
Anti - CHF Vaccine,suspension for injection
Antiallersin,sol. inj. 25 mg/ml - 2  ml x 10; x 100
Antiallersin,25 mg film - coated  tablets
Antianthrax Serum Bul Bio,solution for injection
Anti-CHF  Vaccine,suspension for injection
Antidepressa,20 mg film - coated  tablets
Antidiphetia Serum Bui Bio,solution for injection
Antiementin,sol. inj. 5 mg/ml - 2 ml
Antiementin,syr. 5 mg/ 5 ml - 120 ml
Antiemetin,5 mg/5 ml syrup
Antiemetin,5 mg/ml solution for  injection
Antiherpin,5% cream - 5 g; 10g; 20  g
Antimyco - Acid Galen - Pharma,8 g/100 ml + 8 g/100 ml  cutaneous solution
Antimyco  - Acid Kupro,cut. sol. 8 g/100 g + 8  g/100 g - 50 ml
Antimyco - Beta Galen - Pharma,5 g/100 ml + 1 g/100 ml  cutaneous solution
Antimyco - Beta VT,50 ml cutaneous solution
Antimyco-acid,sol. cut. - 50 ml
Antimyco-acid  Chemax Pharma,sol. cut.
Antimyco-Acid Chemax Pharma,8 g/100 g + 8 g/100 g  cutaneous solution
Antimycobeta - Forte,10 g/100 ml + 2 g/100 ml  cutaneous solution
Antimyco-Beta  Chemax Pharma,solutio cutaneous
Antimyco-Beta Chemax Pharma,5 g/100 g + 1 g/100 g  cutaneous solution
Antimyco-beta  VT,sol. cut. - 50 ml
Antispasmin,135 mg film - coated  tablets
Antistenocardin,tabl. coat. 25 mg x 60;  x 1 200
Antistenocardin,75 mg  coated tablets
Antitetanus Serum Bul Bio,solution for injection
Antithrombin  III NF Baxter,"50 IU/ml, powder and  solvent for solution for injection/infusion"
ANTITHROMBINIU NF BAXALTA,50 IU/ml powder and  solvent for solution for injection/infusion
Anzibel  Classic,5 mg/4 mg/3 mg  compressed lozenge
Anzibel  honey and lemon,5 mg/4 mg/3 mg  compressed lozenges
Anzibel  Menthol,5 mg/4 mg/3 mg  compressed lozenges
Apel,600 mg film - coated  tablets
Apiri,100 mg gastro -  resistant tablets
Apleek,60 micrograms/24 hours +  13 micrograms/24 hours transdermal patch
Apleria,25 mg film - coated  tablets
Apleria,50 mg film - coated  tablets
APO  - go Ampoules,10 mg/ml solution for  injection or infusion
Apo  - Infect spag. Peka,
APO-go  Pen,10 mg/ml solution for  injection
APO-go  PFS,5 mg/ml solution for  infusion in pre - filled syringe
Apomorphine  EVER Pharma,5 mg/ml solution
Apredonav,5 mg film - coated tablets
Apredonav,"7,5 mg film - coated tablets"
Aprepitant  Sandoz KIT,80 mg 125 mg hard  capsules
Aprokam,50 mg powder for  solution for injection
Apstar,35 mg prolonged -  release tablets
Aqua ad Iniectabilia Braun,solvent for parenteral  use
Aquastrozole,1 mg film - coated  tablets
Aquatiapine,100 mg film - coated  tablets
Aquatiapine,200 mg film - coated  tablets
Aquatiapine,25 mg film - coated  tablets
Aquinil,"10 mg/12,5 mg film -  coated tablets"
Aquinil,"20 mg/12,5 mg film -  coated tablets"
Aragil,40 mg film - coated  tablets
Aragil,40 mg film - coated  tablets
Aragil,10 mg film - coated tablets
Aragil,20 mg film - coated  tablets
Arcoxia,60 mg film - coated  tablets
Arcoxia,30 mg film - coated  tablets
Arcoxia,90 mg film - coated  tablets
Arcoxia,120 mg film - coated  tablets
