Product,Strength
Actamone,"powd. inj. vial + solv.  pre-filled syr. 0,5 ml; x 1"
Actamone,powd. inj. 20 mg + solv.  20 ml x 1
Actelsar,50 mg powder and solvent  for solution for injection and infusion
Act-HIB,"1 mg/0,5 mg film - coated tablets"
Actilyse,tabl. film 5 mg x 14; x  28
ACTILYSE,cream 5% - 20 g
Activelle,gel 20% - 20 g
Actonel,oint. 5% - 20 g
Actovegin,8 mg/dose oral solution
Actovegin,1000 mg powder for  concentrate for solution for infusion
Actovegin,500 mg powder for  concentrate for solution for infusion
Acuver,5 % cream
Acviscin,5 % cream
Acviscin,"0,5 ml suspension for  injection"
Acyclostad,suspension for injection  in pre - filled syringe
Acyclovir Stada,"suspension for  injection, in pre - filled syringe"
Adacel,30 mg prolonged -  release tablets
Adacel,concetrate for solution  for infusion
ADACEL  POLIO,tabl. film. 50 mg x 7; x  14; x 28
Adalat Eins,2400 mg powder for oral  solution
Addven,1200 mg powder for oral  solution
Adepend,500 mg film - coated tablets
Adicetam,10 mg/5 mg prolonged -  release tablets
Adicetam,20 mg/10 mg prolonged -  release tablets
Adiflox,40 mg/20 mg prolonged -  release tablets
Adolax,300 mg/250 mg/50 mg  tablets
Adolax,10 mg film - coated  tablets
Adolax,5 mg film - coated tablets
Adolorin,sol. inj. 1 mg/ml x 10;  x 100
ADORMA,"0,1 % cream"
ADORMA,"0,1% ointment"
Adrenaline  Sopharma,"0,1 % cutaneous emulsion"
Advantan,10 mg orodispersible  tablets
Advantan,5 mg orodispersible  tablets
Advantan Milk,42 mg chewable tablets
Aedon,"inhalation vapour,  liquid"
Aedon,15 mg/g cream
Aero-OM,100 mg powder for oral  suspension
Aerrane,100 mg film - coated  tablets
Aflamil,"oral drops, solution"
Aflamil,"oral drops, solution"
Aflamil,tablets
Aflu Theiss,"0,05% nasal spray,  solution"
Aflubin,"0,5 mg/ml nasal spray, solution"
Aflubin,"0,5 mg/ml nasal spray,  solution"
Afrin,"0,5 mg/ml nasal spray,  solution"
Afrin ND,"0,5 mg/ml nasal spray, solution"
Afrin  ND Chamomile,100 mg coated tablets
Afrin  ND Glycerol,400 mg prolonged -  release tablets
Afrin ND Menthol,100 mg coated tablets
Agapurin,600 mg prolonged -  release tablets
Agapurin  SR,400 mg prolonged -  release tablets
Agapurin  SR,5 mg tablets
Agapurin  SR,250 micrograms/ml  concentrate for solution for infusion
Agapurin  SR,600 mg  film - coated tablets
Agen,granules
Aggrastat,"0,5 mg/0,4 mg capsules,  hard"
Agilamex,25 mg film - coated  tablets
Agiolax,25 mg film-codted  tablets
Aglandin  Comp,75 mg film - coated  tablets
Agodeprin,solution for injection
Agomelatine  G.L.Pharma,500 IU powder and  solvent for solution for infusion
Agreta,"160 micrograms+4,5  microdrams/dose inhalation powder, pre - dispensed"
Ahtitetanos Serum Bul Bio,"50 micrograms + 250  micrograms/dose inhalation power, pre - dispensed"
Aimafix,"50 micrograms + 500  micrograms/dose inhalation power, pre - dispensed"
AIRBUFO  FORSPIRO,"25 mcg/250 mcg/dose  pressurised inhalation, suspension"
AirFluSal  Forspiro,"26 mcg/125 mcg/dose  pressurised inhalation, suspension"
AirFluSal  Forspiro,50 mg solution for inj.
Airflusal Sprayhaler,50 mg/ml syrup
Airflusal Sprayhaler,500 mg powder for oral  solution
Akedolox,1000 mg powder for oral  solution
Akimba,tabl. 2 mg x 50
Akimba,2 mg tablets
Akimba,5 mg/ml solution for  injection
Akinestat,4 mg prolonged - release  tablets
Akineton,"50 micrograms/ml eye  drops, solution"
Akineton,"50 micrograms/ml + 5  mg/ml eye drops, solution"
Akineton  SR,500 mg film - coated  tablets
Akistan,tabl. film 250 mg x 10;  x 20
Akistan  Duo,500 mg/5 ml syrup
Aksef,500 mg/5 ml syrup
Aksef  250,250 mg/5 ml syrup
Akvir  Forte Raspberry Taste,250 mg/5 ml syrup
Akvir  Forte Strawberry Taste,200 g/l solution for  infusion
Akvir  Raspberry Taste,200 g/l solution for  infusion
Akvir  Strawberry Taste,200 g/l solution for  infusion
Albiomin  20 %,50 g/l solution for  infusion
Albumin 20 % - BB,"200 g/l, solution for  infusion"
Albunorm  20%,"50 g/l, solution for  infusion"
Albunorm  5%,"5 mg/ml eye drops,  solution"
Alburex 20,5% sol. Cut
Alburex  5,sol. cut. 5% - 25 ml; 50  ml; 900 ml
Alcaine,60 mg prolonged -  release tablets
Alcocholic  Iodine Solution - Flo,90 mg prolonged -  release tablets
Alcocholic  Iodine Solution 5%,70 mg tablets
Aldizem,70 mg tablets
Aldizem,70 mg/5 600 IU tablets
Alendronat  Actavis,5 mg film - coated  tablets
Alendronic  Acid Aurobindo,"1 mg/ml eye drops,  solution"
Alendronic  Acid/Vitamin D3 Sandoz,50 mg/ml solution for  injection
Alercit,100 mg/5 ml solution for  injection
Alerpalux,"0,25 mcg capsules, soft"
Alexan,"0,5 mcg capsules, soft"
Alexan,"1 microgram capsules,  soft"
Alfacalcidol  Sandoz,600 mg film - coated  tablets
Alfacalcidol  Sandoz,"75 mg, 150 mg  prolonget-release capsules"
Alfacalcidol  Sandoz,10 mg prolonged -  release tablets
Alfalipoic,10 g/100 g + 1 g /100 g  cream
Alfaxin,100 micrograms/h  transdermal patch
Alfuzosine  Aurobindo,"12,5 micrograms/h  transdermal patch"
Algesal  Suractive,25 micrograms/h  transdermal patch
Algogesic,50 micrograms/h  transdermal patch
Algogesic,75 micrograms/h  transdermal patch
Algogesic,"100 mg capsules, hard"
Algogesic,"200 mg capsules, hard"
Algogesic,500 mg tablets
Algoxib,"500 mg/38,75 mg/50 mg  tablets"
Algoxib,324 mg effervescent tablets
Algozone,100 mg effervescent  tablets
Algozone  Plus,120 mg film - coated tablets
Alka-Seltzer,sol. inj. 1 000 BU/ml  vial 5 ml x 1; x 2; x 3; x 4; x 5; x 6
AlLDone,sol. inj. 1 000 BU -  vial 5 ml x 1; x 2; x 3; x 4; x 5; x 6
Allegra,solu. For skinprick test
Allergens  from animals for diagnosis,sol. inj. vial 5 ml (1  000 BU/ml) x 1; x 2; x 3; x 4; x 5; x 6
Allergens  from food for diagnosis,"0,1 % nasal spray,  solution"
Allergens  from grass polen for diagnosis,"0,05 % eye drops,  solution"
Allergens  from textiles for diagnosis,"0,15% nasal spray,  solution"
Allergodil,solution for injection
Allergodil,sol. inj. 10 mg/ml - 2  ml x 10; x 100
Allergodil  S,1 % oinment
Allergoprevent,25 mg coated tablets
Allergosan,1% cream
Allergosan,10 mg film - coated  tablets
Allergosan,10 mg film - coated  tablets
Allergosan,10 mg film - coated tablets
Allersan,100 mg tablets
Allertesin,500 mg tablets
Allezodac,436 mg/150 mg/218 ml/10  ml oral suspension
Allopurinol  Accord,436 mg/150 mg/10 ml oral  suspension
Almadrat  T,400 mg/400 mg chewable  tablets
Almagel,susp 218 mg/75 mg/109 mg  - 170 ml; 200 ml
Almagel,436 mg/150 mg/218 mg/10  ml oral suspension
Almagel,susp. 340 mg/ 395 mg/ 36  mg
Almagel  A,680 mg/790 mg/72 mg/10  ml oral suspension
Almagel A,50 mg gastro - resistant  tablets
Almalox,75 mg/3 ml solution for  injection
Almalox,"1,16 % gel"
Almiral,"12,5 mg flim coated  tabl."
Almiral,25 mg film - coated  tablets
Almiral,5 mg tablets
Almozel,10 mg tablets
Alnair,"100, 200, 300 mg tablets"
Alneta,100  mg tablets
Alneta,400 mg film - coated  tablets
Alodagra,5 mg film - coated  tablets
Alodagra,10 mg film - coated  tablets
Alonet,5 mg orodispersible  tablets
Alonzap,10 mg orodispersible  tablets
Alonzap,5 mg/5 mg tablets
Alonzap  ODT,5 mg/10 mg tablets
Alonzap  ODT,10 mg/5 mg tablets
Alotendin,10 mg/10 mg tablets
Alotendin,"0,25 micrograms  capsules, soft"
Alotendin,"0,5 micrograms capsules,  soft"
Alotendin,"1 microgram capsules,  soft"
Alpha  D3,l g powder for solution  for injection
Alpha  D3,2 g powder for solution  for injection
Alpha  D3,"0,4 g/100 ml /0,2 g/100  ml cutaneous solution"
Alphacef,"0,005 g/100 ml/0,2 g/100  ml/0,4 g/100 ml cutaneous solution"
Alphacef,"0,5 mg tablets"
Alpicort,1  mg tablets
Alpicort  F,2 mg tablets
Alprazolam  KRKA,"0,25 mg tablets"
Alprazolam  KRKA,20 micrograms powder for  solution for infusion
Alprazolam  KRKA,500 micrograms/ml  concentrate for solution for infusion
Alprazolam  KRKA,conc. inf. 20 mcg/ml - 1  ml x 5
Alprostadil  Rompharm,2 mg/ml sol. For inj.
Alprostapint,8 mg film-coated tablets
Alprostapint  20 mcg,"1% cut spray, solution"
Alsetron,1 % cream
Alsetron,"5,50 g/1 solution for infusion"
Alterbin,200 g/1 solution for infusion
Alterbin,"345,8 mg/113 mg/5 ml  oral suspension"
Alubrex,suspension for injection
Alubrex  20,450 mg film - coated  tablets
Alumi  gel,"37,5 mg prolonged -  release capsules, hard"
ALUSTAL,"75 mg prolonged -  release capsules, hard"
Alvanocyt,"150 mg prolonged -  release capsules, hard"
Alventa,"40 micrograms  pressurised inhalation, solution"
Alventa,"80 micrograms  pressurised inhalation, solution"
Alventa,"160 micrograms  pressurised inhalation, solution"
Alvesco,"160 micrograms  pressurised inhalation, solution"
Alvesco,"80 micrograms  pressurised inhalation, solution"
Alvesco,16 mg tablets
Alvesco,24 mg tablets
Alvesco,10 mg film - coated  tablets
AlvoBehist,15 mg film - coated  tablets
AlvoBehist,20 mg film - coated  tablets
Alvocital,500 mg/125 mg film -  coated tablets
Alvocital,875 mg/125 mg film -  coated tablets
Alvocital,"200 mg capsules, soft"
Alvoclav,"400 mg capsules, soft"
Alvoclav,"0,5 mg/mol oral solution"
Alvofen  Express,4 mg chewable tablets
Alvofen  Express,5 mg chewable tablets
Alvogen,10 mg film-coated  tablets
Alvokast,"1,5 mg prolonged - release tablets"
Alvokast,1000 mg film - coated  tablets
Alvokast,250 mg film - coated  tablets
Alvonamid,500 mg film - coated  tablets
Alvotiracetam,"Allergen extract from animal origin, solution for skin - prick test"
Alvotiracetam,"Allergen extract from grass pollens,solution  for skin - prick test"
Alvotiracetam,"Allergen extract from  mites, solution for skin - prick test"
ALYOSTAL  PRICK,"Allergen extract from  tree pollens, solution for skin - prick test"
ALYOSTAL  PRICK,"Allergen extracts from  weed pollens, solution for skin - prick test"
ALYOSTAL  PRICK,"solution for prick test,  vial 3 ml x 1"
ALYOSTAL  PRICK,"solution for prick test,  vial 3 ml x 1"
ALYOSTAL  PRICK,"solution for prick test,  vial 3 ml"
"Alyostal  Prick, Allergen extracts from animal for diagnosis","solution for prick test,  vial 3 ml x 1"
"Alyostal  Prick, Allergen extracts from grass pollens for diagnosis",5 mg film - coated  tablets
"Alyostal  Prick, Allergen extracts from mites for diagnosis",10 mg film - coated  tablets
"Alyostal  Prick, Allergen extracts from weed pollens for diagnosis",5 mg film - coated  tablets
Alzamed,5 mg orodispersible tablets
Alzepil,10 mg orodispersible  tablets
Alzepil,"200 mg prolonged -  release capsules, hard"
Alzepil  ODT,"100 mg prolonged -  release capsules, hard"
Alzepil  ODT,"50 mg prolonged -  release capsules, hard"
Amarhyton,"150 mg prolonged -  release capsules, hard"
Amarhyton,1 mg tablets
Amarhyton,2 mg tablets
Amarhyton,3 mg tablets
Amaryl,4 mg tablets
Amaryl,15 mg/5 ml syrup
Amaryl,15 mg/15 ml syrup
Amaryl,15 mg/5 ml syrup
Ambixol,30 mg/5 ml syrup
Ambixol,30 mg effervescent  tablets
Ambrex,5 mg film - coated  tablets
Ambrex,10 mg film - coated  tablets
Ambrin,5 mg film - coated tablets
Ambrisentan  Accord,10 mg film - coated tablets
Ambrisentan  Accord,3 mg/ml oral solution
Ambrisentan  Teva,30 mg tablets
Ambrisentan  Teva,"75 mg prolonged -  release capsules, hard"
Ambro,15 mg/5 ml syrup
Ambro,30 mg/5 ml syrup
Ambrolex  R,syr. 15 mg/5 ml - 100 ml
Ambrolytin,syr. 15 mg/5 ml - 100  ml; 250 ml x 1
Ambrolytin,15 mg/5 ml oral solution
Ambroxol  Adipharm,15 mg/5 ml syrup
Ambroxol  AL,30 mg/5 ml syrup
Ambroxol Hydrochloride Fontane,100 mg tablets
Ambroxol  VP,50 mg film-coated  tablets
Ambroxol  VP,25 mg film-coated  tablets
Ameolin,100 mg film-coated  tablets
Amfidor,10 mg film - coated tablets
Amfidor,20 mg film - coated tablets
Amfidor,40 mg film - coated tablets
Amicor,tabl. 100 mg x 2; x 4
Amicor,tabl. 50 mg x 2; x 4
Amicor,"2,5 mg/ml solution for  infusion"
Amigren  Adipharm,5 mg/ml solution for  infusion
Amigren  Adipharm,10 mg/ml solution for  infusion
Amikacin  B. Braun,500 mg/2 ml solution for  injection/infusion
Amikacin  B. Braun,100 mg/2 ml solution for  injection/infusion
Amikacin  B. Braun,250 mg/2 ml solution for  injection/infusion
Amikacin  CP Medical,250 mg/ml solution for  injection/infusion
Amikacin  CP Medical,125 mg/ml solution for  injection/infusion
Amikacin  CP Medical,1.1 % solution for  peritoneal dialysisd
Amikacin  Sopharma,10 % solution for  infusion
Amikacin  Sopharma,sol. inf - 500 ml x 10
Aminodial  BIOFARM,sol. inf - 500 ml x 10
AminoNUTRIENT  BIOPHARM,5% Е solution for  infusion
Aminoplasmal  10% E,10% Е solution for  infusion
Aminoplasmal  5% E,10% solution for  infusion
Aminoplasmal  B. Braun,10 % solution for  infusion
Aminoplasmal  B. Braun,8 % solution for  infusion
AMINOPLASMAL  HEPA,sol. inf. 10% - 500 ml x  10; ? 1; 1 000 ml x 6; ? 1
Aminoplasmal  Paed,sol. inf. 5% - 500 ml x  10; ? 1; 1 000 ml x 6; ? 1
Aminosteril  N - Hepa,200 mg tablets
Aminoven  10%,50 mg/ml concentrate for  solution for injection/infusion
Aminoven  5%,200 mg tablets
Amiodaron  Actavis,"20 mg/ml + 5 mg/ml eye  drops, solutition"
Amiodaron  Hameln,400 mg film - coated  tablets
Amiodarone  Sopharma,50 mg tablets
Amiptifree,100 mg tablets
Amisulgen,200 mg tablets
Amisulgen,"40 mg/ml oral drops, solution"
Amisulgen,10 mg coated tablets
Amisulgen,25 mg coated tablets
Amitrex,10 mg coated tablets
Amitriptyline  MEDA,25 mg coated tablets
Amitriptyline  MEDA,500 mg/ml solution for  injection
Amitriptyline  Mylan,10 mg/5 mg film - coated  tablets
Amitriptyline  Mylan,10 mg/10 mg film - coated  tablets
Amizolmet,20 mg/5 mg film - coated  tablets
Amlator,20 mg/10 mg film - coated  tablets
Amlator,10 mg/5 mg film - coated  tablets
Amlator,10 mg/10 mg film - coated  tablets
Amlator,20 mg/5 mg film - coated  tablets
Amlator,20 mg/10 mg film - coated  tablets
Amlator,"2,85 mg/2,5 mg tablets"
Amlator,"5,7 mg/5 mg tablets"
Amlator,4 mg/5 mg tablets
Amlessa,8 mg/5 mg tablets
Amlessa,8 mg/10 mg tablets
Amlessa,4 mg/10 mg tablets
Amlessa,tabl. 10 mg x 20; x 30
Amlessa,tabl. 5 mg x 20; x 30
Amlessa,10 mg tablets
Amlocor,5 mg tablets
Amlocor,5 mg tablets
Amlodicon,10 mg tablets
Amlodicon,10  mg tablets
Amlodigamma,5  mg tablets
Amlodigamma,10 mg tablets
Amlodipin  Alkaloid,5 mg tablets
Amlodipin  Alkaloid,5 mg tablets
Amlodipine  Biopharm,10  mg tablets
Amlodipine  Biopharm,5 mg tablets
Amlodipine Ecopharm,10 mg tablets
Amlodipine  Medica,5 mg tablets
Amlodipine  Medica,10 mg/10 mg film -  coated tablets
Amlodipine  Sopharma,5 mg/10 mg film - coated  tablets
Amlodipine  Sopharma,10 mg/320 mg film -  coated tablets
Amlodipine/Atorvastatin Krka,5 mg/320 mg film -  coated tablets
Amlodipine/Atorvastatin Krka,10 mg/160 mg film - coated  tablets
Amlodipine/Valsartan HCS,5 mg/160 mg film - coated  tablets
Amlodipine/Valsartan HCS,5 mg/80 mg film - coated  tablets
Amlodipine/Valsartan  Sandoz,"5 mg/160 mg/12,5 mg film -  coated tablets"
Amlodipine/Valsartan  Sandoz,"10 mg/160 mg/12,5 mg film  - coated tablets"
Amlodipine/Valsartan  Sandoz,10 mg/160 mg/25 mg film -  coated tablets
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,5 mg tablets
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,10 mg tablets
Amlodipine/Valsartan/Hydrochlorothiazide  SPM,5  mg tablets
Amlogen,10 mg tablets
Amlogen,"5 mg/5 mg capsules, hard"
Amlopin,5 mg tablets
Amlopin,10 mg tablets
Amlopin  DUO,10 mg tablets
Amloteron,5 mg tablets
Amloteron,500 mg/125 mg film - coated tablets
Amlovask,250 mg/125 mg film -  coated tablets
Amlovask,875 mg/125 mg film -  coated tablets
Amoclan,1 000 mg/200 mg powder  for solution for injection
Amoclan,2000 mg/200 mg powder  for solution for infusion
Amoclan,"125 mg/31,25 mg/5 ml  powder for oral suspension"
Amoksiklav,"250 mg/ 62,5 mg/5 ml  powder for oral suspension"
Amoksiklav,250 mg/125 mg film -  coated tablets
Amoksiklav,875 mg/125 mg film -  coated tablets
Amoksiklav,500 mg/ 125mg film -  coated tablets
Amoksiklav,400 mg/ 57 mg/5 ml  powder for oral suspension
Amoksiklav,40 mg/5 mg film - coated  tablets
Amoksiklav,4 mg/10 mg tablets
Amoksiklav,4 mg/5 mg tablets
Amolcon,8 mg/10 mg tablets
Amolpril,8 mg/5 mg tablets
Amolpril,tabl.500 mg;750 mg; 1  000 mg
Amolpril,750 mg tablets
Amolpril,1 000 mg tablets
Amoxicillin CNP,500 mg tablets
Amoxicillin  - MIP,50 mg / ml powder oral  solution
Amoxicillin  - MIP,250 mg/5 ml powder for  oral suspension
Amoxicillin  - MIP,500 mg/5 ml powder for  oral suspension
Amoxicillin  MIP,500 mg film - coated  tablets
Amoxicillin  Sandoz,1000 mg film - coated  tablets
Amoxicillin  Sandoz,875mg / 125 mg film -  coated tablets
Amoxicillin  Sandoz,875 mg/125 mg film - coated  tablets
Amoxicillin  Sandoz,2 g/l g powder for  solution for injection or infusion
Amoxigard,"l g/0,5 g powder for  solution for injection or infusion"
Amoxiklav,l g powder for solution  for injection
Ampicillin  & Sulbactam Mylan,l g powder for solution  for injection
Ampicillin  & Sulbactam Mylan,"1,0 g/500 mg powder"
Ampicillin Floella,"2,0 g/1,0 mg powder"
Ampicillin TZF,5 mg/10 mg film - coated  tablets
Ampisulcillin,"1,25 mg tablets"
Ampisulcillin,"2,5 mg tablets"
Ampodipine/Atorvastatin  KRKA,5 mg tablets
Ampril,10 mg tablets
Ampril,"2,5 mg/12,5 mg tablets"
Ampril,5 mg/25 mg tablets
Ampril,"2,5 mg/12,5 mg tablets"
Ampril  HD,5 mg/25 mg tablets
Ampril  HD,10 mg/160 mg film -  coated tablets
Ampril  HL,5 mg/160 mg film -  coated tablets
Ampril  HL,"5 mg/160 mg/12,5 mg film  - coated tablets"
Amvalcon,1 g/100 g + !g/100 g +  2.5 g/100 g cutaneous solution
Amvalcon,"1 g/100 ml + 2,5 g/100  ml + 1 g/100 ml cutaneous solution"
Amvalcon  - Co,10 mg coated tablets
Anaestezolum  - Flo,25 mg coated tablets
Anaesthesol  Galen - Pharma,"0,5 mg tablets"
Anafranil,"0,75 mg tablets"
Anafranil,1 mg tablets
Anagrelid  Nordic,"0,5 mg hard capsules"
Anagrelid  Nordic,"500 mg/ml oral drops,  solution"
Anagrelid  Nordic,500 mg/ml solution for  injection
Anagrelide  AOP,500 mg tablets
Analgin,500 mg film - coated  tablets
Analgin,250 mg film - coated  tablets
Analgin,"500 mg/ml oral drops,  solution"
Analgin  Chin,1000 mg effervescent  powder
Analgin  Chin,"300 micrograms /0,3 ml  solution for injection, pre - filled siringe"
Analgin  Kids,"150 micrograms /0,3 ml  solution for injection, pre - filled siringe"
ANALGIN  MAX,1 mg film - coated  tablets
Anapen,1 mg film - coated  tablets
Anapen  Junior,1 mg film - coated  tablets
Anaromat,1 mg film-coated tablets
Anastrocon,1 mg film - coated  tablets
Anastrozex,1 mg film - coated  tablets
Anastrozol  Genericon,"5 mg, 10 mg capsules"
Anastrozole Alvogen,50 mg tablets
Anastrozole  Kabi,100 mg/ml solution for  injection
Andante,50 mg gel
Androcur,50 mg tablets
Androcur  Depot,"3 mg/0,02 mg film -  coated tablets"
Androgel,"oral drops, solution -  50 ml"
Androterone,sol. cut. - 60 ml
Aneea,"1,0 g/100 g + 1,0 g/100  g + 2,5 g/100 g cutaneous solution"
Anervina,"1 g/100 ml + 2,5 g/100  ml + 1 g/100 ml cutaneous solution"
Anestesol,sol. cut. - 100 ml
Anestesol  Chemax Pharma,"0,1 mg/ml solution for  injection/infusion"
Anestesol VT,"8,75 mg lozenge"
Anesthezol  - Kupro,5 mg/1 mg compressed  lozenges
Anexate,5 mg/1 mg compressed  lozenges
ANGAL Intensive,"2 mg/ml + 0,5 mg/ml  oromucosal spray, solution"
Angal  Lemon,10 mg tablets
Angal  Menthol,20 mg tablets
Angal  Menthol,500 mg tablets
Angedil,tablets
Angedil,25 micrograms tablets
Angetop,100 mg tablets
Angin - Heel S,"0,05% eye drops,  solution"
Angusta,suspension for injection
Anopyrin,sol. inj. 25 mg/ml - 2  ml x 10; x 100
Antalerg Unimed Pharma,25 mg film - coated  tablets
Anti - CHF Vaccine,solution for injection
Antiallersin,suspension for injection
Antiallersin,20 mg film - coated  tablets
Antianthrax Serum Bul Bio,solution for injection
Anti-CHF  Vaccine,sol. inj. 5 mg/ml - 2 ml
Antidepressa,syr. 5 mg/ 5 ml - 120 ml
Antidiphetia Serum Bui Bio,5 mg/5 ml syrup
Antiementin,5 mg/ml solution for  injection
Antiementin,5% cream - 5 g; 10g; 20  g
Antiemetin,8 g/100 ml + 8 g/100 ml  cutaneous solution
Antiemetin,cut. sol. 8 g/100 g + 8  g/100 g - 50 ml
Antiherpin,5 g/100 ml + 1 g/100 ml  cutaneous solution
Antimyco - Acid Galen - Pharma,50 ml cutaneous solution
Antimyco  - Acid Kupro,sol. cut. - 50 ml
Antimyco - Beta Galen - Pharma,sol. cut.
Antimyco - Beta VT,8 g/100 g + 8 g/100 g  cutaneous solution
Antimyco-acid,10 g/100 ml + 2 g/100 ml  cutaneous solution
Antimyco-acid  Chemax Pharma,solutio cutaneous
Antimyco-Acid Chemax Pharma,5 g/100 g + 1 g/100 g  cutaneous solution
Antimycobeta - Forte,sol. cut. - 50 ml
Antimyco-Beta  Chemax Pharma,135 mg film - coated  tablets
Antimyco-Beta Chemax Pharma,tabl. coat. 25 mg x 60;  x 1 200
Antimyco-beta  VT,75 mg  coated tablets
Antispasmin,solution for injection
Antistenocardin,"50 IU/ml, powder and  solvent for solution for injection/infusion"
Antistenocardin,50 IU/ml powder and  solvent for solution for injection/infusion
Antitetanus Serum Bul Bio,5 mg/4 mg/3 mg  compressed lozenge
Antithrombin  III NF Baxter,5 mg/4 mg/3 mg  compressed lozenges
ANTITHROMBINIU NF BAXALTA,5 mg/4 mg/3 mg  compressed lozenges
Anzibel  Classic,600 mg film - coated  tablets
Anzibel  honey and lemon,100 mg gastro -  resistant tablets
Anzibel  Menthol,60 micrograms/24 hours +  13 micrograms/24 hours transdermal patch
Apel,25 mg film - coated  tablets
Apiri,50 mg film - coated  tablets
Apleek,10 mg/ml solution for  injection or infusion
Apleria,
Apleria,10 mg/ml solution for  injection
APO  - go Ampoules,5 mg/ml solution for  infusion in pre - filled syringe
Apo  - Infect spag. Peka,5 mg/ml solution
APO-go  Pen,5 mg film - coated tablets
APO-go  PFS,"7,5 mg film - coated tablets"
Apomorphine  EVER Pharma,80 mg 125 mg hard  capsules
Apredonav,50 mg powder for  solution for injection
Apredonav,35 mg prolonged -  release tablets
Aprepitant  Sandoz KIT,solvent for parenteral  use
Aprokam,1 mg film - coated  tablets
Apstar,100 mg film - coated  tablets
Aqua ad Iniectabilia Braun,200 mg film - coated  tablets
Aquastrozole,25 mg film - coated  tablets
Aquatiapine,"10 mg/12,5 mg film -  coated tablets"
Aquatiapine,"20 mg/12,5 mg film -  coated tablets"
Aquatiapine,40 mg film - coated  tablets
Aquinil,40 mg film - coated  tablets
Aquinil,10 mg film - coated tablets
Aragil,20 mg film - coated  tablets
Aragil,60 mg film - coated  tablets
Aragil,30 mg film - coated  tablets
Aragil,90 mg film - coated  tablets
Arcoxia,120 mg film - coated  tablets
Arcoxia,powder and solvent for  solution for injection
